Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
43	16.09763	1.9963043	20.229383	11.891284	94.6	25.714586	135.0	38.0	1000.0	117905.0	0.08932196969696969	1.8027483	0.5788724	3.1071603	-0.372704	9.0547285	5.0941496	35.098663	-2.5086396	1.1920929e-08	-0.00036388676	5.9604646e-09	0.00040587853	0.17979965	-0.05084459	24.805996	-13.261996	0	0	1.0	1.6114066	0.00039315582	1320000	1102.009266614914
44	16.296747	2.2633402	20.566032	12.176333	92.7	47.584766	234.0	40.0	1000.0	120618.0	0.08934666666666667	1.6788849	0.5502226	2.7424996	-0.2294551	8.996286	5.1142054	32.810024	-3.2431798	-2.9802323e-09	-0.0010559616	-2.3841858e-08	-0.0009640896	0.1538147	-0.0362928	30.907827	-16.759726	0	0	1.0	1.6111428	0.0017082408	1350000	1124.3928852081299
45	15.477496	2.8129025	20.741566	10.682705	84.25	27.799055	146.0	30.0	1000.0	123232.0	0.08929855072463769	1.6411942	0.56049	2.686439	-0.44218665	9.403945	5.4589686	33.77566	-6.10218	1.4901161e-09	-0.0007373339	-4.172325e-08	0.0004147833	0.15221007	-0.040186025	26.08318	-14.900919	0	0	1.0	1.6108338	0.0017412778	1380000	1146.1819341182709
46	15.9044285	3.2179847	23.433249	10.816842	95.6	34.794254	192.0	46.0	1000.0	125986.0	0.0893517730496454	1.6442399	0.52583694	2.8836477	-0.44551402	9.3461685	5.268106	35.380066	-4.74177	-5.9604646e-09	-0.0014571466	-1.1920929e-08	0.00075062003	0.18317999	-0.05963304	28.824936	-16.346714	0	0	1.0	1.6103817	0.0018918298	1410000	1168.2602117061615
47	15.205734	3.0544877	22.358091	8.747924	73.9	29.502373	164.0	14.0	1000.0	128222.0	0.08904305555555556	1.6579287	0.5639971	2.8919435	-0.3124981	8.696048	4.9681554	35.217587	-1.560712	5.9604646e-09	-0.0004803902	5.9604646e-09	-0.0001924334	0.21156278	-0.053755395	24.40168	-14.057947	0	0	1.0	1.6097473	0.00035595728	1440000	1189.9992496967316
48	17.415155	3.4340875	23.038614	9.260371	84.35	31.431314	152.0	39.0	1000.0	130664.0	0.08888707482993197	1.6973395	0.5534677	2.9228773	-0.1984394	8.770994	5.5770445	34.251087	-2.7797692	2.9802323e-09	-0.00053206814	2.8312206e-08	0.0003814876	0.18212798	-0.04506026	29.309668	-17.66392	0	0	3.0	1.6091883	0.000803583	1470000	1212.2587637901306
49	18.379644	3.3727665	23.377842	11.5654545	93.35	32.438057	150.0	33.0	1000.0	133307.0	0.08887133333333333	1.7888441	0.5793841	3.3976274	-0.41037366	8.928941	5.2800126	34.57106	-4.6814446	8.940697e-09	-0.0006459054	-2.3841858e-08	-0.00033460947	0.20162785	-0.047430795	26.514114	-15.047275	0	0	1.0	1.6082516	0.0010028903	1500000	1234.2420473098755
50	16.652597	2.8098888	22.726015	12.143373	78.35	30.809536	139.0	31.0	1000.0	135605.0	0.08863071895424837	1.7238961	0.57492954	2.8821206	-0.34864008	8.691812	5.0777745	35.272163	-3.4138455	7.450581e-09	-0.0008298084	0.0	-0.00051091413	0.16942891	-0.039316013	31.850292	-18.805614	0	0	1.0	1.6076221	0.000563913	1530000	1256.5750274658203
51	17.587772	2.161632	21.537043	14.515041	81.8	25.699417	126.0	12.0	1000.0	137989.0	0.08845448717948717	1.7891192	0.5483573	3.2512343	-0.47848347	8.825388	5.2547307	44.013966	-2.476957	2.9802323e-09	-0.00052184646	1.3411045e-08	-0.00082441623	0.16868876	-0.042737473	26.684048	-15.639694	0	0	1.0	1.6070751	0.00045162564	1560000	1279.3937628269196
52	15.703028	2.7244914	19.6646	9.57705	79.2	34.549385	155.0	30.0	1000.0	140414.0	0.08831069182389938	1.6987635	0.5742647	2.8337007	-0.44167876	8.316606	5.2045197	36.000324	-2.9437518	4.4703485e-09	-0.007610728	-1.1920929e-08	4.4870936e-05	0.16755946	-0.049958553	24.484066	-13.841075	0	0	79.0	1.6064507	0.0052159615	1590000	1309.4731893539429
53	17.22729	2.3541882	23.21433	13.493468	73.25	29.595396	132.0	20.0	1000.0	142668.0	0.08806666666666667	1.7371345	0.5183763	2.9951828	-0.1623049	8.395044	5.1043906	33.545067	-3.4500425	0.0	-0.007821891	1.7881394e-08	0.0010491168	0.13030048	-0.03731393	25.886852	-14.632314	0	0	79.0	1.5858924	0.005387195	1620000	1338.709000825882
54	18.445744	3.0968156	24.802372	13.952664	75.1	29.236792	140.0	0.0	1000.0	144983.0	0.08786848484848485	1.7340773	0.51391095	2.8412979	-0.48841274	7.635799	5.1079817	32.103268	-4.7040076	8.940697e-09	-0.0072552143	1.4901161e-08	-0.0021219286	0.22630906	-0.07101461	22.360113	-12.613662	0	0	79.0	1.5546026	0.004828428	1650000	1367.5632593631744
55	17.710743	2.3742332	21.042496	11.648413	80.2	30.954159	151.0	35.0	1000.0	147428.0	0.0877547619047619	1.8811232	0.53244275	3.0356777	-0.21944027	8.294422	5.2109265	37.946674	-2.1418412	-5.9604646e-09	-0.0017242354	-2.9802322e-08	0.00017273826	0.15999755	-0.039491408	27.222488	-15.7948475	0	0	5.0	1.5325861	0.003225162	1680000	1390.6890234947205
56	16.534351	2.3977044	20.65273	12.589513	92.0	28.546453	156.0	36.0	1000.0	149981.0	0.08770818713450293	1.8280488	0.55192775	3.0247593	-0.17366302	8.326498	5.379437	34.372032	-3.2011268	8.940697e-09	0.0016435366	8.940697e-09	-0.0016905095	0.1310013	-0.034541015	28.76065	-17.596869	0	0	1.0	1.5308967	0.007891436	1710000	1415.2287299633026
57	16.82435	2.8101983	21.951204	11.90307	87.95	29.182999	135.0	27.0	1000.0	152683.0	0.08774885057471264	1.7445828	0.52947557	2.8613195	-0.17382331	8.971789	5.6343923	37.300465	-4.6036453	1.4901161e-09	0.0018421889	2.0861625e-08	0.0028827726	0.14321733	-0.037933256	25.58339	-14.842081	0	0	1.0	1.5301082	0.0066839666	1740000	1437.4908876419067
